00000011001010101000100010000011	LB
00000011001010101001100010000011	LH
00000011001010101010100010000011	LW


00000011001010101000100010100011	SB
00000011001010101001100010100011	SH
00000011001010101010100010100011	SW


00001100001010101000100010010011	ADDI    0000
00001100001010101010100010010011	SLTI    1001
00001100001010101011100010010011	SLTIU   1000
00001100001010101100100010010011	XORI    0100
00001100001010101110100010010011	ORI     0010
00001100001010101111100010010011	ANDI    0011
00000000001010101001100010010011	SLLI    0110
00000000001010101101100010010011	SRLI    0101
01000000001010101101100010010011	SRAI    0111

00000000101010101000100010110011	ADD     0000
01000000101010101000100010110011	SUB     0001
00000000101010101001100010110011	SLL     0110
00000000101010101010100010110011	SLT     1001
00000000101010101011100010110011	SLTU    1000
00000000101010101100100010110011	XOR     0100
00000000101010101101100010110011	SRL     0101
01000000101010101101100010110011	SRA     0111
00000000101010101110100010110011	OR      0010
00000000101010101111100010110011	AND     0011


00011001001010101000100011100011	BEQ
00011001001010101001100011100011	BNE
00011001001010101100100011100011	BLT
00011001001010101101100011100011	BGE
00011001001010101110100011100011	BLTU
00011001001010101111100011100011	BGEU

00000000000000000000100011101111	JAL
00000000000000000000100011100111	JALR
00000000000000000000100010110111	LUI
00000000000000000000100010010111	AUIPC
